predicted_tables,reference_tables,query,question,db_id
"To answer this question, we need to count the number of distinct transcripts for each course enrollment. We can do this by joining the `Student_Enrolment_Courses`, `Transcript_Contents`, and `Transcripts` tables, and then grouping the results by `student_course_id`. Here's the SQL query to get the desired result: ```sql SELECT se.student_enrolment_id, COUNT(DISTINCT tc.transcript_id) AS num_transcripts FROM Student_Enrolment_Courses se JOIN Transcript_Contents tc ON se.student_course_id = tc.student_course_id JOIN Transcripts t ON tc.transcript_id = t.transcript_id GROUP BY se.student_enrolment_id ORDER BY num_transcripts DESC",Transcript_Contents,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,student_transcripts_tracking
"To find the maximum number of times a course shows up in different transcripts, we can use the following SQL query: ```sql SELECT COUNT(DISTINCT transcript_id) AS num_transcripts, course_id FROM Transcript_Contents GROUP BY course_id ORDER BY num_transcripts DESC LIMIT 1",Transcript_Contents,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,student_transcripts_tracking
"To answer this question, we need to join the `Transcripts` and `Transcript_Contents` tables, group by the `transcript_id`, and count the number of rows in each group. Then, we can order the result by the count in ascending order and select the top 1. Here is the SQL query to achieve this: ```sql SELECT t.transcript_id, t.transcript_date FROM Transcripts t JOIN Transcript_Contents tc ON t.transcript_id = tc.transcript_id GROUP BY t.transcript_id, t.transcript_date ORDER BY COUNT(tc.student_course_id) ASC LIMIT 1","Transcript_Contents, Transcripts","SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","Show the date of the transcript which shows the least number of results, also list the id.",student_transcripts_tracking
"To find the date and id of the transcript with the least number of results, we need to count the number of results for each transcript and then find the transcript with the least count. Here is the SQL query to achieve this: ```sql SELECT transcript_date, transcript_id FROM Transcripts WHERE transcript_id IN ( SELECT transcript_id FROM Transcript_Contents GROUP BY transcript_id HAVING COUNT(*) = ( SELECT MIN(result_count) FROM ( SELECT COUNT(*) as result_count FROM Transcript_Contents GROUP BY transcript_id ) as subquery ) )","Transcript_Contents, Transcripts","SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1",What is the date and id of the transcript with the least number of results?,student_transcripts_tracking
"To find the semester when both Master students and Bachelor students got enrolled in, we need to join the `Degree_Programs`, `Student_Enrolment`, `Semesters`, and `Students` tables. We can use the following SQL query: ```sql SELECT s.semester_name FROM Semesters s JOIN Student_Enrolment se ON s.semester_id = se.semester_id JOIN Degree_Programs dp ON se.degree_program_id = dp.degree_program_id JOIN Students st ON se.student_id = st.student_id WHERE dp.degree_summary_name IN ('Master', 'Bachelor') GROUP BY s.semester_name HAVING COUNT(DISTINCT dp.degree_summary_name) = 2","Degree_Programs, Student_Enrolment",SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',Find the semester when both Master students and Bachelor students got enrolled in.,student_transcripts_tracking
"To find the id of the semester that had both Masters and Bachelors students enrolled, we need to join the `Degree_Programs`, `Student_Enrolment`, and `Semesters` tables. We can use the following SQL query: ```sql SELECT s.semester_id FROM Semesters s JOIN Student_Enrolment se ON s.semester_id = se.semester_id JOIN Degree_Programs dp ON se.degree_program_id = dp.degree_program_id WHERE dp.degree_summary_name = 'Master' GROUP BY s.semester_id HAVING COUNT(DISTINCT dp.degree_summary_name) = 2","Degree_Programs, Student_Enrolment",SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',What is the id of the semester that had both Masters and Bachelors students enrolled?,student_transcripts_tracking
SELECT COUNT(DISTINCT current_address_id) FROM Students,Students,SELECT count(DISTINCT current_address_id) FROM Students,How many different addresses do the students currently live?,student_transcripts_tracking
"SELECT DISTINCT a.address_id, a.line_1, a.line_2, a.line_3, a.city, a.zip_postcode, a.state_province_county, a.country, a.other_address_details FROM Addresses a INNER JOIN Students s ON a.address_id = s.current_address_id OR a.address_id = s.permanent_address_id",Students,SELECT count(DISTINCT current_address_id) FROM Students,What are the different addresses that have students living there?,student_transcripts_tracking
"SELECT * FROM Students ORDER BY last_name DESC, first_name DESC, middle_name DESC",Students,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,List all the student details in reversed lexicographical order.,student_transcripts_tracking
"SELECT * FROM Students ORDER BY last_name DESC, first_name DESC",Students,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,What other details can you tell me about students in reverse alphabetical order?,student_transcripts_tracking
"The section h. refers to the ""Student_Enrolment_Courses"" table in the given SQL tables. This table is used to map the courses that are enrolled by students in the database. The ""Student_Enrolment_Courses"" table has the following columns: - ""student_course_id"" (integer): A unique identifier for each record in the table. - ""course_id"" (integer): A foreign key referencing the ""Courses"" table, representing the course that the student is enrolled in. - ""student_enrolment_id"" (integer): A foreign key referencing the ""Student_Enrolment"" table, representing the enrolment record of the student in the course. The table is used to store the mapping between students and the courses they are enrolled in. It allows for the tracking of which students are enrolled in which courses.",Sections,SELECT section_description FROM Sections WHERE section_name  =  'h',Describe the section h.,student_transcripts_tracking
SELECT section_description FROM Sections WHERE section_name = 'h',Sections,SELECT section_description FROM Sections WHERE section_name  =  'h',What is the description for the section named h?,student_transcripts_tracking
SELECT first_name FROM Students WHERE permanent_address_id IN (SELECT address_id FROM Addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582',"students, addresses",select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,student_transcripts_tracking
SELECT first_name FROM Students WHERE permanent_address_id IN (SELECT address_id FROM Addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582',"students, addresses",select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,student_transcripts_tracking
SELECT Title FROM Cartoon ORDER BY Title ASC,Cartoon,SELECT Title FROM Cartoon ORDER BY title,List the title of all cartoons in alphabetical order.,tvshow
SELECT Title FROM Cartoon ORDER BY Title ASC,Cartoon,SELECT Title FROM Cartoon ORDER BY title,What are the titles of the cartoons sorted alphabetically?,tvshow
SELECT * FROM Cartoon WHERE Directed_by = 'Ben Jones',Cartoon,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";","List all cartoon directed by ""Ben Jones"".",tvshow
SELECT Title FROM Cartoon WHERE Directed_by = 'Ben Jones',Cartoon,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";",What are the names of all cartoons directed by Ben Jones?,tvshow
SELECT COUNT(*) FROM Cartoon WHERE Written_by = 'Joseph Kuhr',Cartoon,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";","How many cartoons were written by ""Joseph Kuhr""?",tvshow
SELECT COUNT(*) FROM Cartoon WHERE Written_by = 'Joseph Kuhr',Cartoon,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",What is the number of cartoones written by Joseph Kuhr?,tvshow
"SELECT Title, Directed_by FROM Cartoon ORDER BY Original_air_date",Cartoon,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date",list all cartoon titles and their directors ordered by their air date,tvshow
"SELECT Title, Directed_by FROM Cartoon ORDER BY Original_air_date ASC",Cartoon,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date",What is the name and directors of all the cartoons that are ordered by air date?,tvshow
"SELECT Title FROM Cartoon WHERE Directed_by IN ('Ben Jones', 'Brandon Vietti')",Cartoon,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";","List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"".",tvshow
"SELECT Title FROM Cartoon WHERE Directed_by IN ('Ben Jones', 'Brandon Vietti')",Cartoon,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";",What are the titles of all cartoons directed by Ben Jones or Brandon Vietti?,tvshow
"SELECT Country, COUNT(*) as Number_of_Channels FROM TV_Channel GROUP BY Country ORDER BY Number_of_Channels DESC LIMIT 1",TV_Channel,"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;",Which country has the most of TV Channels? List the country and number of TV Channels it has.,tvshow
"SELECT Country, COUNT(*) as Num_Channels FROM TV_Channel GROUP BY Country ORDER BY Num_Channels DESC LIMIT 1",TV_Channel,"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;",What is the country with the most number of TV Channels and how many does it have?,tvshow
"SELECT COUNT(DISTINCT series_name), COUNT(DISTINCT Content) FROM TV_Channel",TV_Channel,"SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;",List the number of different series names and contents in the TV Channel table.,tvshow
"SELECT COUNT(DISTINCT series_name), COUNT(DISTINCT Content) FROM TV_Channel",TV_Channel,"SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;",How many different series and contents are listed in the TV Channel table?,tvshow
"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio""",TV_Channel,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";","What is the content of TV Channel with serial name ""Sky Radio""?",tvshow
SELECT Content FROM TV_Channel WHERE series_name = 'Sky Radio',TV_Channel,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";",What is the content of the series Sky Radio?,tvshow
"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio""",TV_Channel,"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";","What is the Package Option of TV Channel with serial name ""Sky Radio""?",tvshow
"Based on the given SQL tables, the Package Options of the TV Channels whose series names are ""Sky Radio"" are ""Sky Famiglia"".",TV_Channel,"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";",What are the Package Options of the TV Channels whose series names are Sky Radio?,tvshow
